S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price,Nett Price ($),Area in Sqft,Type of Area,Floor Level,Unit Price in dollar psf,Date of Sale
109,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,941000,-,721,Strata,11 to 15,1305,Sep-15
110,THE GLADES,BEDOK RISE,Condominium,16,OCR,99 years leasehold,New Sale,1,747000,-,506,Strata,06 to 10,1477,Sep-15
111,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 years leasehold,New Sale,1,1550000,-,1367,Strata,01 to 05,1134,Sep-15
112,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 years leasehold,New Sale,1,1570000,-,1647,Strata,01 to 05,953,Sep-15
113,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 years leasehold,New Sale,1,1559160,-,1335,Strata,01 to 05,1168,Sep-15
114,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,1499000,-,1130,Strata,11 to 15,1326,Sep-15
115,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,649000,-,517,Strata,01 to 05,1256,Sep-15
116,COCO PALMS,PASIR RIS GROVE,Condominium,18,OCR,99 years leasehold,New Sale,1,1257696,-,1152,Strata,11 to 15,1092,Sep-15
117,THE GLADES,BEDOK RISE,Condominium,16,OCR,99 years leasehold,New Sale,1,958000,-,667,Strata,11 to 15,1435,Sep-15
118,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Estate in Perpetuity,New Sale,1,1158700,-,721,Strata,01 to 05,1607,Sep-15
119,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,649000,-,517,Strata,01 to 05,1256,Sep-15
120,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,660000,-,517,Strata,06 to 10,1277,Sep-15
121,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,688000,-,495,Strata,16 to 20,1389,Sep-15
122,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,642000,-,517,Strata,01 to 05,1243,Sep-15
123,THE GLADES,BEDOK RISE,Condominium,16,OCR,99 years leasehold,New Sale,1,980000,-,721,Strata,01 to 05,1359,Sep-15
124,BOATHOUSE RESIDENCES,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2011,Sub Sale,1,1038000,-,1001,Strata,11 to 15,1037,Sep-15
125,PALM GROVE CONDOMINIUM,PALM GROVE AVENUE,Condominium,19,OCR,999 yrs lease commencing from 1878,Resale,1,1800000,-,1841,Strata,01 to 05,978,Sep-15
126,COASTAL VIEW RESIDENCES,JALAN LOYANG BESAR,Apartment,17,OCR,999 yrs lease commencing from 1885,Resale,1,830000,-,840,Strata,01 to 05,989,Sep-15
127,KOVAN ESQUIRE,KOVAN ROAD,Apartment,19,OCR,Freehold,Resale,1,1020000,-,1076,Strata,01 to 05,948,Sep-15
128,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 years leasehold,New Sale,1,1615516,-,1335,Strata,06 to 10,1210,Sep-15
129,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,683000,-,495,Strata,11 to 15,1379,Sep-15
130,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,685000,-,495,Strata,11 to 15,1383,Sep-15
131,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,948000,-,732,Strata,16 to 20,1295,Sep-15
132,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 years leasehold,New Sale,1,1610014,-,1335,Strata,06 to 10,1206,Sep-15
133,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,1184000,-,958,Strata,01 to 05,1236,Sep-15
134,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,940000,-,721,Strata,11 to 15,1303,Sep-15
135,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,887000,-,732,Strata,01 to 05,1212,Sep-15
136,THE QUARTZ,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2005,Resale,1,1240000,-,1367,Strata,11 to 15,907,Sep-15
137,STADIA,YIO CHU KANG ROAD,Apartment,19,OCR,Freehold,Resale,1,1050000,-,904,Strata,01 to 05,1161,Sep-15
138,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,968000,-,732,Strata,11 to 15,1322,Sep-15
139,PALM ISLES,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2011,Sub Sale,1,630000,-,517,Strata,01 to 05,1219,Sep-15
140,THE CHUAN,LORONG CHUAN,Condominium,19,OCR,999 yrs lease commencing from 1877,Resale,1,1100000,-,936,Strata,16 to 20,1175,Sep-15
141,THE GLADES,BEDOK RISE,Condominium,16,OCR,99 years leasehold,New Sale,1,877900,869000,581,Strata,06 to 10,1495,Sep-15
142,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,New Sale,1,1900000,1898500,1367,Strata,01 to 05,1389,Sep-15
143,BOATHOUSE RESIDENCES,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2011,Sub Sale,1,945000,-,915,Strata,06 to 10,1033,Sep-15
144,TERRASSE,TERRASSE LANE,Condominium,19,OCR,99 yrs lease commencing from 2010,Resale,1,930000,-,807,Strata,01 to 05,1152,Sep-15
145,CENTRAL VIEW,HOUGANG STREET 11,Condominium,19,OCR,99 yrs lease commencing from 1998,Resale,1,900000,-,980,Strata,01 to 05,919,Sep-15
